directory,template,vsfiles,is_same,ASGard_completeness,generalization_completeness,ASGard_abstraction,generalization_abstraction,ASGard_variable_ratio,generalization_variable_ratio
java.util.Collections, Template8, Collections 32 vs 31, False, 0.514969142401049, 0.8093319814018068,0.2028985507246377, 0.04054054054054054,0.1652582159624413, 0.035412474849094565
java.util.Collections, Template9, Collections 29 vs 1, False, 0.20687022900763358, 0.20896411125913367,0.9230769230769231, 0.5909090909090909,1.1423076923076922, 0.4125
java.util.Collection, Template10, Collection 20 vs 21, True, 0.814569536423841, 0.9966887417218543,0.0, 0.0,0.0, 0.0
java.util.Collection, Template11, Collection 29 vs 35, False, 0.2166178269866924, 0.30592594248415683,0.5555555555555556, 0.5238095238095238,0.5682951146560319, 0.4167497507477568
java.util.Collection, Template1, Collection 33 vs 22, False, 0.26013189786370555, 0.2547885258672043,0.6923076923076923, 0.6153846153846154,0.5068681318681318, 0.45054945054945056
java.util.Collection, Template2, Collection 5 vs 3, False, 0.6198495104333444, 0.8713261364657144,0.17073170731707318, 0.03296703296703297,0.1451751558134537, 0.03110896196002579
java.util.Collection, Template3, Collection 11 vs 2, True, 0.7681500514235369, 0.998595066850598,0.0, 0.0,0.0, 0.0
java.util.Collection, Template4, Collection 6 vs 15, True, 0.826417582117287, 0.9982469803792972,0.0, 0.0,0.0, 0.0
java.util.Collection, Template5, Collection 10 vs 19, True, 0.7551515151515151, 0.9903846153846154,0.0, 0.0,0.0, 0.0
java.util.Collection, Template6, Collection 9 vs 18, True, 0.8901735863977858, 0.9986662712534599,0.0, 0.0,0.0, 0.0
java.util.Collection, Template8, Collection 8 vs 17, True, 0.8340083761507171, 0.992485549132948,0.0, 0.0,0.0, 0.0
java.util.Collection, Template9, Collection 16 vs 7, True, 0.8603023765080442, 0.996985931654182,0.0, 0.0,0.0, 0.0
java.util.Date, Template1, Date 4 vs 3, False, 0.2564102564102564, 0.28888888888888886,0.6, 0.6,0.4182692307692308, 0.6274038461538461
