directory,template,vsfiles,is_same,ASGard_completeness,generalization_completeness,ASGard_completeness_v2,generalization_completeness_v2,ASGard_abstraction,generalization_abstraction,ASGard_variable_ratio,generalization_variable_ratio
java.net.HttpURLConnection,Template9,HttpURLConnection15vs5,False,0.8684055412888467,0.9625687404018326,0.8639497613600882,0.9621258706055528,0.012987012987012988,0.010869565217391304,0.010869565217391304,0.010869565217391304
java.net.URI,Template1,URI9vs10,True,0.7452043369474561,0.9986791896754978,0.7452043369474561,0.9986791896754978,0.0,0.0,0.0,0.0
java.net.URI,Template2,URI11vs15,False,0.7808594821169742,0.9278704900693384,0.7808594821169742,0.9278704900693384,0.0,0.02631578947368421,0.0,0.02631578947368421
java.net.URI,Template3,URI12vs16,False,0.5574943757030372,0.7490692479523455,0.598547726177085,0.8423824254111093,0.16494845360824742,0.11382113821138211,0.12672176308539945,0.11088154269972453
java.net.URI,Template4,URI3vs5,False,0.5353530826573447,0.7061994609164421,0.5489749373807994,0.7746580219802108,0.25925925925925924,0.16216216216216217,0.18433818433818433,0.158004158004158
java.net.URI,Template5,URI14vs2,False,0.2943674147963425,0.39756097560975606,0.40574159838498985,0.5513045617249394,0.5185185185185185,0.41935483870967744,0.39375,0.365625
java.net.URL,Template1,URL15vs14,False,0.7794782310200813,0.9500085067770657,0.7795163720273852,0.9411007494707935,0.05,0.045454545454545456,0.045454545454545456,0.045454545454545456
java.net.URL,Template2,URL13vs12,False,0.7495566634322616,0.9458962090541039,0.734228092481681,0.9458962090541039,0.08823529411764706,0.0,0.0715909090909091,0.0
java.net.URL,Template3,URL14vs17,False,0.5166463370883261,0.691131498470948,0.5694356456551579,0.7962662337662337,0.1875,0.11764705882352941,0.16193181818181818,0.10795454545454546
java.net.URL,Template4,URL14vs16,False,0.316381490534692,0.3399571104089738,0.3389332380158068,0.4094880654513682,0.3333333333333333,0.3333333333333333,0.2719941348973607,0.1942815249266862
java.sql.SQLException,Template1,SQLException2vs3,True,0.8336594911937378,0.9980430528375734,0.8336594911937378,0.9980430528375734,0.0,0.0,0.0,0.0
java.sql.SQLException,Template2,SQLException11vs12,False,0.6933382633201621,0.8899515057045745,0.7003064685842109,0.9151950288073111,0.09615384615384616,0.05084745762711865,0.0847457627118644,0.05084745762711865
java.sql.SQLException,Template3,SQLException5vs12,False,0.16690457255109875,0.5746988191654196,0.13921912491418398,0.6756697050646765,0.4166666666666667,0.16326530612244897,0.0847457627118644,0.13559322033898305
java.sql.Statement,Template1,Statement6vs9,True,0.7449920971047732,0.9832613390928726,0.7439092597543302,0.9832613390928726,0.0,0.0,0.0,0.0
java.sql.Statement,Template2,Statement12vs13,True,0.8349705304518664,0.9980353634577603,0.8349705304518664,0.9980353634577603,0.0,0.0,0.0,0.0
java.sql.Statement,Template3,Statement7vs1,True,0.7409287976846999,0.9873424752746001,0.7375532678547012,0.9873424752746001,0.0,0.0,0.0,0.0
java.sql.Statement,Template4,Statement2vs8,False,0.5108072567692377,0.8434174989067171,0.5002535511623827,0.8473033918011388,0.18181818181818182,0.024691358024691357,0.08589377498572244,0.02147344374643061
java.util.Arrays,Template1,Arrays1vs5,True,0.021269202139161947,0.9750829632217176,0.021269202139161947,0.9750829632217176,0.0,0.0,0.0,0.0
java.util.Arrays,Template2,Arrays22vs23,False,0.2630057803468208,0.3798076923076923,0.2795013323182337,0.5378759040730872,0.75,0.5,0.6675824175824177,0.5192307692307692
java.util.Arrays,Template3,Arrays15vs17,False,0.3408496732026144,0.47316159932259005,0.37052675855820877,0.5390053711253479,0.3888888888888889,0.3157894736842105,0.3111111111111111,0.26666666666666666
java.util.Arrays,Template4,Arrays28vs29,True,0.8647686832740213,0.998220640569395,0.8647686832740213,0.998220640569395,0.0,0.0,0.0,0.0
java.util.Arrays,Template5,Arrays24vs27,False,0.414975845410628,0.8119278252611586,0.47795248078266944,0.8278010715117634,0.3793103448275862,0.02631578947368421,0.2723429951690821,0.024758454106280192
java.util.Arrays,Template6,Arrays2vs3,False,0.5468874366385992,0.7141574152221429,0.6106970185334408,0.766921837228042,0.3125,0.1875,0.2579365079365079,0.15476190476190477
java.util.Arrays,Template7,Arrays6vs7,False,0.5468874366385992,0.7141574152221429,0.6106970185334408,0.766921837228042,0.3125,0.1875,0.2579365079365079,0.15476190476190477
java.util.Collections,Template10,Collections13vs11,False,0.32776792750197004,0.487012987012987,0.310332939322301,0.5500394011032309,0.375,0.2222222222222222,0.22142857142857142,0.14761904761904762
java.util.Collections,Template11,Collections34vs35,False,0.4536608408124705,0.575268817204301,0.5017477562588568,0.7251062824752008,0.25,0.3,0.17424242424242425,0.26136363636363635
java.util.Collections,Template1,Collections17vs18,True,0.8321995464852607,0.999244142101285,0.8420256991685563,0.999244142101285,0.0,0.0,0.0,0.0
java.util.Collections,Template2,Collections7vs36,False,0.31945656238314846,0.43107380713438553,0.35863996273870513,0.572038503337991,0.5555555555555556,0.45454545454545453,0.39682539682539686,0.39682539682539686
java.util.Collections,Template3,Collections4vs3,False,0.6743101858879194,0.7740104671330201,0.7042305143479114,0.8489674496662902,0.07692307692307693,0.047619047619047616,0.05823209049015501,0.043674067867616254
java.util.Collections,Template4,Collections20vs27,False,0.2732974657990855,0.24031365313653136,0.2873228923128926,0.36830652657671614,0.5769230769230769,0.5769230769230769,0.47031772575250835,0.47031772575250835
java.util.Collections,Template5,Collections16vs15,False,0.6854135264029257,0.8928191949393363,0.6783834540018285,0.8928191949393363,0.08695652173913043,0.04,0.08,0.04
java.util.Collections,Template6,Collections5vs37,False,0.25461176754280207,0.3353543008715422,0.3601648811516572,0.5170530632741881,0.5,0.5454545454545454,0.3559027777777778,0.4270833333333333
java.util.Collections,Template7,Collections26vs22,False,0.22545887593685476,0.2806451612903226,0.2641402071241607,0.40229885057471265,0.5277777777777778,0.4878048780487805,0.33045977011494254,0.34785238959467635
java.util.Collections,Template8,Collections32vs31,False,0.514969142401049,0.801244880580674,0.5878053513815104,0.8276326640200986,0.2028985507246377,0.04054054054054054,0.1652582159624413,0.035412474849094565
